originalName,sample_id,taxonKey,acceptedTaxonKey,voucher,basisOfRecord,occurrenceStatus,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,taxonRank,taxonomicStatus,iucnRedListCategory,lat_lon,continent,islandGroup,island,country,countryCode,stateProvince,county,municipality,locality,geography,geodeticDatum,coordinateUncertaintyInMeters,year,month,day,lifeStage,recordedBy,elevation,depth,occurrenceSource,occurrenceOrigin,CONTINENT,COUNTRY,AC,ISLAND,MUNICIPALI,TOWN,WB_0
Alytes muletensis,4855333871,2426609,2426609,212242468,human_observation,PRESENT,Animalia,Chordata,Amphibia,Anura,Alytidae,Alytes,muletensis,,1,44,131,952,6726,2426608,2426609,SPECIES,ACCEPTED,EN,"[39.99735, 2.822827]",,,,Spain,ES,Islas Baleares,,,,"[null, null, null, ""Spain"", ""ES"", ""Islas Baleares"", null, null, null]",WGS84,28030.0,2024.0,4.0,30.0,Adult,davidequercia,,,GBIF,database,Europe,Spain,Islas Baleares,,,,Balearic Sea
Alytes muletensis,4863852296,2426609,2426609,215655910,human_observation,PRESENT,Animalia,Chordata,Amphibia,Anura,Alytidae,Alytes,muletensis,,1,44,131,952,6726,2426608,2426609,SPECIES,ACCEPTED,EN,"[39.68952, 2.889664]",Europe,,,Spain,ES,Islas Baleares,,,,"[""Europe"", null, null, ""Spain"", ""ES"", ""Islas Baleares"", null, null, null]",WGS84,28060.0,2024.0,5.0,6.0,,leonery,,,GBIF,database,Europe,Spain,Islas Baleares,Mallorca,Inca,,
Alytes muletensis,3455917500,2426609,2426609,104200864,human_observation,PRESENT,Animalia,Chordata,Amphibia,Anura,Alytidae,Alytes,muletensis,,1,44,131,952,6726,2426608,2426609,SPECIES,ACCEPTED,EN,"[39.802708, 2.811413]",Europe,,,Spain,ES,Islas Baleares,,,,"[""Europe"", null, null, ""Spain"", ""ES"", ""Islas Baleares"", null, null, null]",WGS84,28030.0,2022.0,1.0,2.0,Larva,Daniele Seglie,,,GBIF,database,Europe,Spain,Islas Baleares,Mallorca,Escorca,,
Alytes muletensis,3457127448,2426609,2426609,104200879,human_observation,PRESENT,Animalia,Chordata,Amphibia,Anura,Alytidae,Alytes,muletensis,,1,44,131,952,6726,2426608,2426609,SPECIES,ACCEPTED,EN,"[39.827176, 2.874789]",Europe,,,Spain,ES,Islas Baleares,,,,"[""Europe"", null, null, ""Spain"", ""ES"", ""Islas Baleares"", null, null, null]",WGS84,28030.0,2022.0,1.0,2.0,,Daniele Seglie,,,GBIF,database,Europe,Spain,Islas Baleares,Mallorca,Escorca,,
Alytes muletensis,3455589157,2426609,2426609,104281582,human_observation,PRESENT,Animalia,Chordata,Amphibia,Anura,Alytidae,Alytes,muletensis,,1,44,131,952,6726,2426608,2426609,SPECIES,ACCEPTED,EN,"[39.706562, 2.470387]",Europe,,,Spain,ES,Islas Baleares,,,,"[""Europe"", null, null, ""Spain"", ""ES"", ""Islas Baleares"", null, null, null]",WGS84,28060.0,2022.0,1.0,3.0,Larva,Daniele Seglie,,,GBIF,database,Europe,Spain,Islas Baleares,,,,Balearic Sea
Alytes muletensis,3455968800,2426609,2426609,104281855,human_observation,PRESENT,Animalia,Chordata,Amphibia,Anura,Alytidae,Alytes,muletensis,,1,44,131,952,6726,2426608,2426609,SPECIES,ACCEPTED,EN,"[39.870849, 2.976699]",Europe,,,Spain,ES,Islas Baleares,,,,"[""Europe"", null, null, ""Spain"", ""ES"", ""Islas Baleares"", null, null, null]",WGS84,28030.0,2022.0,1.0,2.0,,Nicolò Seglie,,,GBIF,database,Europe,Spain,Islas Baleares,Mallorca,Pollença,,
Alytes muletensis,3456479851,2426609,2426609,104421670,human_observation,PRESENT,Animalia,Chordata,Amphibia,Anura,Alytidae,Alytes,muletensis,,1,44,131,952,6726,2426608,2426609,SPECIES,ACCEPTED,EN,"[39.975878, 3.118349]",Europe,,,Spain,ES,Islas Baleares,,,,"[""Europe"", null, null, ""Spain"", ""ES"", ""Islas Baleares"", null, null, null]",WGS84,28030.0,2022.0,1.0,5.0,Adult,Nicolò Seglie,,,GBIF,database,Europe,Spain,Islas Baleares,,,,Balearic Sea
Alytes muletensis,3456012349,2426609,2426609,104421895,human_observation,PRESENT,Animalia,Chordata,Amphibia,Anura,Alytidae,Alytes,muletensis,,1,44,131,952,6726,2426608,2426609,SPECIES,ACCEPTED,EN,"[39.832523, 3.046373]",Europe,,,Spain,ES,Islas Baleares,,,,"[""Europe"", null, null, ""Spain"", ""ES"", ""Islas Baleares"", null, null, null]",WGS84,28030.0,2022.0,1.0,5.0,Larva,Daniele Seglie,,,GBIF,database,Europe,Spain,Islas Baleares,Mallorca,Pollença,,
Alytes muletensis,3456158246,2426609,2426609,104421915,human_observation,PRESENT,Animalia,Chordata,Amphibia,Anura,Alytidae,Alytes,muletensis,,1,44,131,952,6726,2426608,2426609,SPECIES,ACCEPTED,EN,"[39.967884, 3.194145]",Europe,,,Spain,ES,Islas Baleares,,,,"[""Europe"", null, null, ""Spain"", ""ES"", ""Islas Baleares"", null, null, null]",WGS84,28030.0,2022.0,1.0,5.0,Adult,Daniele Seglie,,,GBIF,database,Europe,Spain,Islas Baleares,,,,Balearic Sea
Alytes muletensis,3455601799,2426609,2426609,104422372,human_observation,PRESENT,Animalia,Chordata,Amphibia,Anura,Alytidae,Alytes,muletensis,,1,44,131,952,6726,2426608,2426609,SPECIES,ACCEPTED,EN,"[39.893941, 3.086522]",Europe,,,Spain,ES,Islas Baleares,,,,"[""Europe"", null, null, ""Spain"", ""ES"", ""Islas Baleares"", null, null, null]",WGS84,28030.0,2022.0,1.0,5.0,Adult,Daniele Seglie,,,GBIF,database,Europe,Spain,Islas Baleares,,,,Balearic Sea
