originalName;colNamesAccepted;colID;Kingdom;kingdomAuthor;kingdomSource;kingdomOrigin;Phylum;phylumAuthor;phylumSource;phylumOrigin;Class;classAuthor;classSource;classOrigin;Order;orderAuthor;orderSource;orderOrigin;Family;familyAuthor;familySource;familyOrigin;Genus;genusAuthor;genusSource;genusOrigin;Species;speciesAuthor;speciesSource;speciesOrigin;Subspecies;subspeciesAuthor;subspeciesSource;subspeciesOrigin;originalStatus;taxonRank;brackish;freshwater;marine;terrestrial
Animalia;Animalia;N;Animalia;;Catalogue of Life;database;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accepted;kingdom;FALSE;FALSE;FALSE;FALSE
Chordata;Chordata;CH2;Animalia;;Catalogue of Life;database;Chordata;;Catalogue of Life;database;;;;;;;;;;;;;;;;;;;;;;;;;accepted;phylum;FALSE;FALSE;FALSE;FALSE
Amphibia;Amphibia;PH;Animalia;;Catalogue of Life;database;Chordata;;Catalogue of Life;database;Amphibia;;Catalogue of Life;database;;;;;;;;;;;;;;;;;;;;;accepted;class;FALSE;FALSE;FALSE;FALSE
Anura;Anura;PW;Animalia;;Catalogue of Life;database;Chordata;;Catalogue of Life;database;Amphibia;;Catalogue of Life;database;Anura;;Catalogue of Life;database;;;;;;;;;;;;;;;;;accepted;order;FALSE;FALSE;FALSE;FALSE
Alytidae;Alytidae;68T;Animalia;;Catalogue of Life;database;Chordata;;Catalogue of Life;database;Amphibia;;Catalogue of Life;database;Anura;;Catalogue of Life;database;Alytidae;Fitzinger, 1843;Catalogue of Life;database;;;;;;;;;;;;;accepted;family;FALSE;FALSE;FALSE;FALSE
Bufonidae;Bufonidae;7FY;Animalia;;Catalogue of Life;database;Chordata;;Catalogue of Life;database;Amphibia;;Catalogue of Life;database;Anura;;Catalogue of Life;database;Bufonidae;Gray, 1825;Catalogue of Life;database;;;;;;;;;;;;;accepted;family;FALSE;FALSE;FALSE;FALSE
Hylidae;Hylidae;B9H;Animalia;;Catalogue of Life;database;Chordata;;Catalogue of Life;database;Amphibia;;Catalogue of Life;database;Anura;;Catalogue of Life;database;Hylidae;Rafinesque, 1815;Catalogue of Life;database;;;;;;;;;;;;;accepted;family;FALSE;FALSE;FALSE;FALSE
Ranidae;Ranidae;FJM;Animalia;;Catalogue of Life;database;Chordata;;Catalogue of Life;database;Amphibia;;Catalogue of Life;database;Anura;;Catalogue of Life;database;Ranidae;Batsch, 1796;Catalogue of Life;database;;;;;;;;;;;;;accepted;family;FALSE;FALSE;FALSE;FALSE
Alytes;Alytes;T5J;Animalia;;Catalogue of Life;database;Chordata;;Catalogue of Life;database;Amphibia;;Catalogue of Life;database;Anura;;Catalogue of Life;database;Alytidae;Fitzinger, 1843;Catalogue of Life;database;Alytes;Wagler, 1830;Catalogue of Life;database;;;;;;;;;accepted;genus;FALSE;FALSE;FALSE;FALSE
Bufotes;Bufotes;3DVS;Animalia;;Catalogue of Life;database;Chordata;;Catalogue of Life;database;Amphibia;;Catalogue of Life;database;Anura;;Catalogue of Life;database;Bufonidae;Gray, 1825;Catalogue of Life;database;Bufotes;Rafinesque, 1815;Catalogue of Life;database;;;;;;;;;accepted;genus;FALSE;FALSE;FALSE;FALSE
Hyla;Hyla;4ZYM;Animalia;;Catalogue of Life;database;Chordata;;Catalogue of Life;database;Amphibia;;Catalogue of Life;database;Anura;;Catalogue of Life;database;Hylidae;Rafinesque, 1815;Catalogue of Life;database;Hyla;Laurenti, 1768;Catalogue of Life;database;;;;;;;;;accepted;genus;FALSE;FALSE;FALSE;FALSE
Pelophylax;Pelophylax;6KDF;Animalia;;Catalogue of Life;database;Chordata;;Catalogue of Life;database;Amphibia;;Catalogue of Life;database;Anura;;Catalogue of Life;database;Ranidae;Batsch, 1796;Catalogue of Life;database;Pelophylax;Fitzinger, 1843;Catalogue of Life;database;;;;;;;;;accepted;genus;FALSE;FALSE;FALSE;FALSE
Alytes muletensis;Alytes muletensis;CCWJ;Animalia;;Catalogue of Life;database;Chordata;;Catalogue of Life;database;Amphibia;;Catalogue of Life;database;Anura;;Catalogue of Life;database;Alytidae;Fitzinger, 1843;Catalogue of Life;database;Alytes;Wagler, 1830;Catalogue of Life;database;muletensis;(Sanchíz & Adrover, 1979);Catalogue of Life;database;;;;;accepted;species;FALSE;TRUE;FALSE;FALSE
Bufotes balearicus;Bufotes balearicus;NPMC;Animalia;;Catalogue of Life;database;Chordata;;Catalogue of Life;database;Amphibia;;Catalogue of Life;database;Anura;;Catalogue of Life;database;Bufonidae;Gray, 1825;Catalogue of Life;database;Bufotes;Rafinesque, 1815;Catalogue of Life;database;balearicus;(Boettger, 1880);Catalogue of Life;database;;;;;accepted;species;FALSE;TRUE;FALSE;FALSE
